Title	Artist	BPM	Key	Import Date
Hard Knock Life (Ghetto Anthem)	Jay-Z	153.694		2010/7/8
Nigga What, Nigga Who (Originator 99)	Jay-Z	132.79		2010/7/8
Can I Get A...	Jay-Z	88.551		2010/7/8
Big Pimpin	Jay-Z	138.086		2010/7/8
No Church in the Wild (feat. Frank Ocean)	Jay-Z & Kanye West	92.8		2011/8/27
Lift Off (feat. Beyonce)	Jay-Z & Kanye West	89.9993	Dm	2011/8/27
Niggas in Paris	Jay-Z & Kanye West	140.002		2011/8/27
Gotta Have It	Jay-Z & Kanye West	150		2011/8/27
New Day	Jay-Z & Kanye West	91.0002	Bbm	2011/8/27
That's My Bitch	Jay-Z & Kanye West	109	D	2011/8/27
Welcome to the Jungle	Jay-Z & Kanye West	93		2011/8/27
Who Gon Stop Me	Jay-Z & Kanye West	133.999	Gm	2011/8/27
Murder to Excellence	Jay-Z & Kanye West	174.009	Gm	2011/8/27
Made in America (feat. Frank Ocean)	Jay-Z & Kanye West	165.999		2011/8/27
Why I Love You (feat. Mr. Hudson)	Jay-Z & Kanye West	118.508		2011/8/27
Illest Motherfucker Alive	Jay-Z & Kanye West	140	Ebm	2011/8/27
H.A.M	Jay-Z & Kanye West	140.001		2011/8/27
Primetime	Jay-Z & Kanye West	170	Bm	2011/8/27
The Joy (feat. Curtis Mayfield)	Jay-Z & Kanye West	159.979	Gm	2011/8/27
Big Pimpin'/Papercut	Jay-Z & Linkin Park	138.303		2010/7/8
Izzo/In The End	Jay-Z & Linkin Park	92.297		2010/7/8
Jigga What/Faint	Jay-Z & Linkin Park	135.004		2010/7/8
Numb/Encore	Jay-Z & Linkin Park	107.001		2010/7/8
Points Of Authority/99 Problems	Jay-Z & Linkin Park	95.001		2010/7/8
Dirt Off Your Shoulder vs. Bittersweet Symphony	Jay-Z & Verve	170.924	Em	2010/7/8
Never Chasing Pavement (Urban Noize Remix)	Jay-Z	169.999	Fm	2010/7/8
The Red	Jaylib	93.44		2010/7/8
Retaliation	Jedi Mind Tricks	88.545		2010/7/8
Contra	Jedi Mind Tricks	92.0148	Abm	2010/7/8
Speech Cobras	Jedi Mind Tricks	92.014		2010/7/8
Words From Mr. Len Part One	Jedi Mind Tricks	127.03	Gbm	2010/7/8
I Against I	Jedi Mind Tricks	91.015		2010/7/8
Exertions Remix	Jedi Mind Tricks	92.014		2010/7/8
Heavenly Divine	Jedi Mind Tricks	92.015		2010/7/8
Intro	J-pecht	124.998		2010/7/8
The Lorax	J-pecht	98		2010/7/8
Green Eggs & Ham (Sam-I-Am)	J-pecht	95		2010/7/8
Silver	J-pecht	148.001		2010/7/8
What Love Is	J-pecht	120.001		2010/7/8
Chocolate Milk	J-pecht	93		2010/7/8
Epiphany	J-pecht	98		2010/7/8
Pocketbook	Jennifer Hudson	95.999		2010/7/8
Dance Again	Jennifer Lopez	128.002		2012/5/25
Fresh Out The Oven	Jennifer Lopez	90		2010/7/8
Jenny From The Block	Jennifer Lopez	100		2010/7/8
On The Floor	Jennifer Lopez	130.001		2011/3/8
All I Have	Jennifer Lopez & LL Cool J	166.08	Fm	2010/7/8
773 Love (Cashmere Cat Edit)	Jeremih	135.001		2013/1/29
Down On Me	Jeremih	160.001	Dm	2011/8/4
Birthday Sex	Jeremih	120		2010/7/8
You Can't Stop The Prophet	Jeru The Damaja	96.406		2010/7/8
My Mind Spray	Jeru The Damaja	93.046		2010/7/8
Come Clean	Jeru The Damaja	87.7194	Dm	2010/7/8
Show Me	Jessica Sutta	128.001		2011/10/16
Do It Like a Dude (HyGrade Dubstep Club Mix)	Jessie J	139.999		2011/2/25
Do It Like A Dude	Jessie J	140.002		2011/3/9
Domino	Jessie J	127		2012/4/4
Nobody's Perfect (Netsky Remix)	Jessie J	173	Gm	2011/4/5
Nobody's Perfect	Jessie J	163.001	Bb	2011/4/5
Price Tag	Jessie J	175	F	2011/2/22
110%	Jessie Ware	101		2012/7/17
If You Love Me (Xaphoon Jones & Grave Goods Remix)	Jessie Ware	128		2013/3/6
Huggin' The Block	Jha Jha (Dipset)	168.436	Am	2010/7/8
Shut Up	Jhameel	133.001		2011/8/4
White Lie	Jhameel	100		2011/12/1
King Kong	Jibbs	156		2010/7/8
Chain Hang Low	Jibbs	156.998		2010/7/8
Chain Hang Low (Remix)	Jibbs	127.57		2010/7/8
Girl I Wanna Lay You Down	Jack Johnson & Zach Gill	94.0642	C	2011/5/30
The Good Stuff	Jim Jones	173.609	Cm	2010/7/8
Reppin Time	Jim Jones	150.001		2010/7/8
We Fly High (Remix)	Jim Jones	90		2010/7/8
Believe in Magic	Jim Jones	93		2011/5/15
My Hood	Jim Jones	94.7997	Gbm	2011/8/4
Perfect Day	Jim Jones	131.5		2011/5/30
What You Been Drinkin' On	Jim Jones	145		2010/7/8
We Fly High	Jim Jones	90		2010/10/6
Love Me No More	Jim Jones	165.995	Gm	2010/10/6
Play (Wolfgang Gartner Remix)	Jin Sonic & Dive	128.983		2012/8/25
Let Them	JJ	138		2010/12/8
Still	JJ	140.132		2011/1/19
My Way	JJ	90.003		2010/7/8
Supersonic	JJ Fad	132.06		2010/7/8
Catch Me If You Can	Jody Breeze	154.016		2010/7/8
Work	Jody Breeze	139.995		2010/7/8
Pump It Up	Joe Budden	104.999	Bbm	2010/7/8
Touch & Go	Joe Budden	111.001		2010/7/8
Belly Dancer	Bazooka Joe	138.784		2010/7/8
George Washington	Bazooka Joe	94.001		2010/7/8
Grills	Bazooka Joe	126.696		2010/7/8
J-Park (Remix)	Bazooka Joe	90		2010/7/8
Late Night Loungin	Bazooka Joe	153.001	Dm	2010/7/8
Minor	Bazooka Joe	100	Dm	2010/7/8
Snare	Bazooka Joe	95.001		2010/7/8
Stand Up	Joell Ortiz	173.999	C	2010/7/8
Hip Hop	Joell Ortiz	120.361		2010/7/8
Hip Hop (Remix)	Joell Ortiz	96.29		2010/7/8
Sing Like Bilal	Joell Ortiz	94.2846	Dm	2010/9/24
Murderers	John Frusciante	109.009		2010/7/8
Green Light	John Legend	155.001		2010/7/8
Half Of My Heart	John Mayer	115.099		2012/9/14
28 Weeks Later Theme	John Murphy	151.38	Dm	2012/1/11
Ring of Fire (Remix)	Johnny Cash	99.451		2011/3/11
You Can't Blame Me	Johnson, Hawkins	169		2012/5/25
It Ain't Got A Name	Joker & TC	139.999		2010/12/8
No Air	Jordin Sparks	160		2010/7/8
Tongues (RAC Mix)	Joywave	117.994		2013/9/6
Let's Cruise	Juelz Santana	167.007	Gbm	2010/7/8
Mic Check	Juelz Santana	89.295		2010/7/8
Mixing Up The Medicine	Juelz Santana	163.999		2010/7/8
The Second Coming	Juelz Santana	148		2010/7/8
Oh Yes	Juelz Santana	147.963		2010/7/8
Shottas	Juelz Santana	170.004	Cm	2010/7/8
Clockwork	Juelz Santana	174.005	Em	2010/7/8
There It Go (The Whistle Song)	Juelz Santana	100.001		2010/7/8
Bandz a Make Her Dance	Juicy J	131		2012/9/14
Who Da Neighbors	Juicy J	140		2013/9/6
Transhuman (F.O.O.L Remix)	Jungle Fiction	130.001		2011/1/19
Get Money	Junior M.A.F.I.A.	90.996		2010/7/8
Gotta Understand	Jurassic 5	96.998		2010/7/8
Work It Out	Jurassic 5	95.499		2013/8/30
Action Satisfaction	Jurassic 5	92.797		2010/7/8
Concrete Schoolyard	Jurassic 5	90.12		2010/7/8
This Is	Jurassic 5	91.926		2010/1/20
If You Only Knew	Jurassic 5	90.004		2010/1/20
Break	Jurassic 5	99.337		2010/1/20
A Day At The Races	Jurassic 5	162.159		2010/1/20
Remember His Name	Jurassic 5	96.309		2010/7/8
What's Golden	Jurassic 5	93.996		2010/1/20
Thin Line	Jurassic 5	87.9829	B	2010/1/20
After School Special	Jurassic 5	95.996		2010/1/20
High Fidelity	Jurassic 5	97.071		2010/1/20
Sum Of Us	Jurassic 5	97.075		2010/1/20
DDT	Jurassic 5	102.287	Ebm	2010/1/20
One Of Them	Jurassic 5	91.982		2010/1/20
I Am Somebody	Jurassic 5	99.78		2010/1/20
Acetate Prophets	Jurassic 5	114.399		2010/1/20
How We Get Along	Jurassic 5	101.493		2010/7/8
The Influence	Jurassic 5	98.996		2010/7/8
Great Expectations	Jurassic 5	96.968		2010/7/8
Quality Intro	Jurassic 5	95.72		2010/7/8
Quality Control	Jurassic 5	88.3008	Abm	2010/7/8
Contact	Jurassic 5	96.079		2010/7/8
Lausd	Jurassic 5	94.761		2010/7/8
W.O.E. Is Me (World Of Entertainment)	Jurassic 5	98.893		2010/7/8
Monkey Bars	Jurassic 5	100.698		2010/7/8
Jurass Finish First	Jurassic 5	100.79		2010/7/8
Contribution	Jurassic 5	95.6		2010/7/8
Twelve	Jurassic 5	92.892		2010/7/8
The Game	Jurassic 5	97.796		2010/7/8
Improvise	Jurassic 5	89.737		2010/7/8
Swing Set	Jurassic 5	104.53		2010/7/8
Higher	Just Blaze	151.062		2013/1/29
Horsepower	Justice	116.984		2013/5/28
Civilization	Justice	111.984		2013/5/28
Ohio	Justice	91.989		2013/5/28
Canon (Primo)	Justice	170.01	Dbm	2013/5/28
Canon	Justice	110.984		2013/5/28
On 'n' On	Justice	91.987		2013/5/28
Brianvision	Justice	109.985		2013/5/28
Parade	Justice	139.981		2013/5/28
Newlands	Justice	126.967		2013/5/28
Helix	Justice	116.984		2013/5/28
Audio, Video, Disco	Justice	151.975		2013/5/28
D.A.N.C.E. (MSTRKRFT Remix)	Justice	126		2010/7/8
Phantom Pt. II (Boys Noize Remix)	Justice	124.985		2010/3/19
LoveStoned (Remixed)	Justice	120.999		2010/7/8
Genesis	Justice	116.985		2010/7/8
Let There Be Light	Justice	122.984		2010/7/8
D.A.N.C.E.	Justice	112.999		2010/6/8
New Jack	Justice	115		2010/7/8
Phantom	Justice	116.985		2010/7/8
Phantom Pt. II	Justice	116.984		2010/7/8
Valentine	Justice	104.485		2010/7/8
The Party	Justice	119.983		2010/7/8
Dvno	Justice	119.983		2010/7/8
Stress	Justice	126.982		2010/7/8
Waters Of Nazareth	Justice	123.982		2010/7/8
One Minute To Midnight	Justice	121.99		2010/7/8
We Are Your Friends (Something Wrong Bass Remix)	Justice vs. Simian	131.999		2010/7/8
We Are Your Friends	Justice vs. Simian	122.99		2010/7/8
As Long As You Love Me	Justin Bieber	140.002		2012/8/25
Baby	Justin Bieber	129.999		2010/7/8
Runaway Love (Remix)	Justin Bieber	103.998	Ab	2010/9/24
My Love	Justin Timberlake	120.001		2010/7/8
Until The End Of Time	Justin Timberlake	119.878		2010/7/8
LoveStoned	Justin Timberlake	121.242		2010/7/8
Sexy Back	Justin Timberlake	117.005		2010/7/8
Summer Love	Justin Timberlake	95.864		2010/7/8
What Goes Around	Justin Timberlake	152.057		2010/7/8
Cry Me A River	Justin Timberlake	147.83		2010/7/8
Let's Take A Ride	Justin Timberlake	90		2010/3/31
Mirrors	Justin Timberlake	141		2013/4/3
Suit & Tie (Dillon Francis Remix)	Justin Timberlake	141.999	http://electronewz.com	2013/3/19
Headbanger	Juvenile	124.998		2010/7/8
Way I Be Leanin	Juvenile	163.918		2010/7/8
Slow Motion	Juvenile	172.801	Cm	2010/7/8
400 Degrees	Juvenile	96.939		2010/7/8
Everything	Juvenile	160		2010/7/8
Rodeo	Juvenile	157.2		2010/7/8
Gotta Get It	Juvenile	160		2010/7/8
Wavin' Flag	K'naan	152.006		2010/7/8
Girl	K-Ci & JoJo	90.026		2012/11/10
Crazy	K-Ci & JoJo	116.033		2012/11/10
All My Life	K-Ci & JoJo	127.999		2010/7/8
The Love Song	K-os	89.086		2010/6/8
Faith	K-os	112.7	Em	2010/9/24
Fun! (Ric's Notes Remix)	K-os	99.999		2011/2/9
I Wish I Knew Natalie Portman	K-os	123.001		2009/8/8
Hail Mary	K.Flay	127.999		2013/5/28
Spaceship (Trolley Snatcha Remix)	Kano	140.011		2011/2/22
Forefather	Kano & Benga	140		2013/3/19
Carry on My Wayward Son	Kansas	127.33		2010/7/8
Say You Will	Kanye West	172.6	Cm	2010/7/8
Welcome To Heartbreak	Kanye West	96		2010/7/8
Heartless	Kanye West	87.9784	Bbm	2010/7/8
Amazing	Kanye West	134.12		2010/7/8
Love Lockdown	Kanye West	119.61		2010/7/8
Paranoid	Kanye West	115.002		2010/7/8
RoboCop	Kanye West	133.798		2010/7/8
Street Lights	Kanye West	125.599		2010/7/8
Bad News	Kanye West	106.199		2010/7/8
See You In My Nightmares	Kanye West	124.6		2010/7/8
Coldest Winter	Kanye West	133.984		2010/7/8
Pinocchio Story	Kanye West	123		2010/7/8
Intro	Kanye West	98		2010/7/8
We Don't Care	Kanye West	166.234	D	2010/7/8
Graduation Day	Kanye West	163.522	Gm	2010/7/8
All Falls Down	Kanye West	91.113		2010/7/8
I'll Fly Away	Kanye West	102		2010/7/8
Spaceship	Kanye West	89.1206	Ab	2010/7/8
Jesus Walks	Kanye West	174.792	Bbm	2010/7/8
Never Let Me Down	Kanye West	167.02	Em	2010/7/8
Get Em High	Kanye West	88.317		2010/7/8
Workout Plan	Kanye West	92		2010/7/8
New Workout Plan	Kanye West	118.022		2010/7/8
Slow Jamz	Kanye West	145.201		2010/7/8
Breathe In Breathe Out	Kanye West	90.017		2010/7/8
School Spirit Skit 1	Kanye West	104.594		2010/7/8
School Spirit	Kanye West	87.7854	Fm	2010/7/8
School Spirit Skit 2	Kanye West	107		2010/7/8
Lil Jimmy Skit	Kanye West	118.073		2010/7/8
Two Words	Kanye West	170.203	Ebm	2010/7/8
Through the Wire	Kanye West	165.989	C	2010/7/8
Family Business	Kanye West	164		2010/7/8
Last Call	Kanye West	87.8124	Eb	2010/7/8
Mercy	Kanye West	140	Abm	2012/9/14
I See Now	Kanye West	92.929		2010/1/20
Christian Dior Denim Flow	Kanye West	95.98		2010/12/8
Don't Look Down	Kanye West	138.023		2010/12/8
Good Friday	Kanye West	173.602	Dbm	2010/9/24
Take One for the Team	Kanye West	91.904		2010/12/8
Good Morning (Intro)	Kanye West	169.958	Dm	2010/7/8
Champion	Kanye West	101.988		2010/7/8
Stronger	Kanye West	103.994		2010/7/8
I Wonder	Kanye West	95.686		2010/7/8
Good Life	Kanye West	169.978	Bbm	2008/12/7
Can't Tell Me Nothing	Kanye West	159.99		2010/7/8
Barry Bonds	Kanye West	124.483		2010/7/8
Drunk And Hot Girls	Kanye West	165.576	Bbm	2010/7/8
Flashing Lights	Kanye West	90		2010/7/8
Everything I Am	Kanye West	120.792		2010/7/8
The Glory	Kanye West	110		2010/7/8
Homecoming	Kanye West	173.977	Cm	2010/7/8
Big Brother	Kanye West	167.979	Bm	2010/7/8
Bittersweet Poetry	Kanye West	97.179		2010/7/8
Drive Slow (Remix)	Kanye West	131.852		2010/7/8
Wake Up Mr. West	Kanye West	114.73		2010/7/8
Heard 'Em Say	Kanye West	95.096		2010/7/8
Touch The Sky	Kanye West	106.707		2010/7/8
Gold Digger	Kanye West	92		2010/7/8
Skit #1	Kanye West	136		2010/7/8
Drive Slow	Kanye West	88.01		2010/7/8
My Way Home	Kanye West	171.65	Fm	2010/7/8
Crack Music	Kanye West	168.215	Em	2010/7/8
Roses	Kanye West	97.6981	Bbm	2010/7/8
Bring Me Down	Kanye West	166.403	Gbm	2010/7/8
Addiction	Kanye West	115		2010/7/8
Skit #2	Kanye West	150.944		2010/7/8
Diamonds From Sierra Leone (Remix)	Kanye West	97.098		2010/7/8
We Major	Kanye West	170.995	D	2010/7/8
Skit #3	Kanye West	120.83	Gb	2010/7/8
Hey Mama	Kanye West	95.974		2010/7/8
Celebration	Kanye West	160.998	F	2010/7/8
Skit #4	Kanye West	107.999		2010/7/8
Gone	Kanye West	92.801		2010/7/8
Diamonds From Sierra Leone	Kanye West	97.099		2010/7/8
Late	Kanye West	153		2010/7/8
See Me Now	Kanye West	159.999		2010/9/24
Dark Fantasy	Kanye West	117		2010/12/8
Gorgeous	Kanye West	103.92		2010/12/8
Power	Kanye West	153.999	Cm	2010/12/8
All Of The Lights (Interlude)	Kanye West	124		2010/12/8
All Of The Lights	Kanye West	142		2010/12/8
Monster	Kanye West	93.702		2010/9/24
So Appalled	Kanye West	174.8	Abm	2010/12/8
Devil In A New Dress	Kanye West	159.014		2010/12/8
Runaway	Kanye West	94.25		2010/12/8
Hell Of A Life	Kanye West	89		2010/12/8
Blame Game	Kanye West	172	Fm	2010/12/8
Lost In The World	Kanye West	117		2010/12/8
Who Will Survive In America	Kanye West	116.998		2010/12/8
All Of The Lights (Inside Out Remix)	Kanye West	141.999		2011/4/22
Barry Bonds (Ritchcraft Remix)	Kanye West	89.292		2010/9/24
Can't Tell Me Nothing (Remix)	Kanye West	160.001		2010/7/8
Classic	Kanye West	100		2010/7/8
Clique (Keys n Krates Remix)	Kanye West	163.993		2013/3/2
Flashing Lights (Remix)	Kanye West	91		2010/7/8
Heartless (Remix)	Kanye West	87.9792	Bbm	2010/7/8
Impossible	Kanye West	130.002		2010/7/8
Mercy (RL Grime & Salva Remix)	Kanye West	144.001		2012/9/14
Payback	Kanye West	91.971		2010/7/8
Power (Paper Diamond Remix)	Kanye West	150		2011/2/9
Power (Remix)	Kanye West	98.5		2010/9/24
We Can Make It Better	Kanye West	96.801		2010/7/8
Young Folks (Remix)	Kanye West	137.163		2009/8/8
On Sight	Kanye West	108.955		2013/9/6
Black Skinhead	Kanye West	130.001		2013/9/6
I Am A God	Kanye West	111.999		2013/9/6
New Slaves	Kanye West	150		2013/6/17
Hold My Liquor	Kanye West	107.001		2013/9/6
I'm In It	Kanye West	169.984		2013/9/6
Blood On The Leaves	Kanye West	123		2013/9/6
Guilt Trip	Kanye West	104.251		2013/9/6
Send It Up	Kanye West	93.001		2013/9/6
Bound 2	Kanye West	150.322	Gb	2013/9/6
H.A.M.	Kanye West & Jay-Z	139.96		2011/1/19
Grammy Family	DJ Khaled	94.975		2010/7/8
Set It Off	Kardinal Offishall	120	C	2010/7/8
Brokenhearted	Karmin	120		2012/8/13
4 AM	Kaskade	126.999		2012/8/25
Eyes	Kaskade	127.999		2012/8/25
Room For Happiness	Kaskade	125		2012/8/13
Turn It Down (Le Castle Vania Remix)	Kaskade	127		2012/8/13
Turn It Down	Kaskade	127.001		2012/8/13
One Illmerica (Swedish House Mafia vs. Wolfgang Garnter)	Kastra	128.989		2010/12/8
On A Mission	Katy B	140		2010/12/8
Hot N Cold	Katy Perry	131.997		2010/7/8
E.T.	Katy Perry	151.526		2011/2/22
California Gurls	Katy Perry	125.046		2010/9/24
E.T. (Noisia Remix)	Katy Perry	137.915		2011/3/29
I Kissed A Girl	Katy Perry	129.999		2010/7/8
Waking Up In Vegas	Katy Perry	130.997		2010/7/8
Wide Awake	Katy Perry	159.999	F	2012/7/17
Your Love Is My Drug	Ke$ha	120.003		2010/6/8
Tik Tok	Ke$ha	119.999		2010/7/8
Take It Off	Ke$ha	125.001		2010/7/8
Kiss N Tell	Ke$ha	144		2010/7/8
Stephen	Ke$ha	99.999		2010/7/8
Blah Blah Blah	Ke$ha	120		2010/3/19
Hungover	Ke$ha	90.001		2010/7/8
Party At A Rich Dude's House	Ke$ha	147.174		2010/7/8
Backstabber	Ke$ha	159.999		2010/7/8
Blind	Ke$ha	114.999		2010/7/8
Dinosaur	Ke$ha	136.09		2010/7/8
Dancing With Tears In My Eyes	Ke$ha	120		2010/7/8
Boots & Boys	Ke$ha	126		2010/7/8
Animal	Ke$ha	138.998		2010/7/8
Die Young (Remix)	Ke$ha	128		2012/12/12
Die Young	Ke$ha	128.001		2012/11/10
Blah Blah Blah (Redlight Remix)	Ke$ha	127.998		2010/3/19
Blow (Cirkut Remix) 	Ke$ha	126.01		2011/3/31
Blow	Ke$ha	129.922		2011/3/25
Crazy Kids	Ke$ha	127.999		2013/6/17
Sleazy (Remix 2)	Ke$ha	170.009	Fm	2012/1/11
Sleazy (Remix)	Ke$ha	170	Dm	2011/2/9
Tik Tok (Skeet Skeet Remix)	Ke$ha	127.999		2010/7/8
We R Who We R	Ke$ha	119.995		2011/2/9
Super Hyphy	Keak Da Sneak	104.37		2010/7/8
Somewhere Only We Know	Keane	171.922	A	2010/7/8
Is It Any Wonder?	Keane	129.31		2010/7/8
Bend & Break	Keane	137.954		2010/7/8
Everybody's Changing	Keane	94		2010/7/8
4th Of July (Calvin Harris Remix)	Kelis	127.999		2011/1/19
Freak Me Slow	Kelis	95.001		2010/7/8
Ghetto Children	Kelis	170.003	Dm	2010/7/8
Milkshake	Kelis	113.001		2010/7/8
Spot	Kelis	116.905		2010/7/8
Signs	Kellee Maize	106.5		2011/1/19
Mothership	Kellee Maize	130		2010/7/8
Big Plans	Kellee Maize	127.999		2010/7/8
Friday Night Flu Remix	Kellee Maize	130		2011/1/19
Third Eye	Kellee Maize	96.999		2010/7/8
Pulse	Kellee Maize	89.999		2010/7/8
Big Plans Remix	Kellee Maize	128		2011/1/19
Hasta Abajo - All The Way Down	Kellee Maize	99		2010/12/8
Aligned Archetype	Kellee Maize	127.976		2011/1/19
Because Of You	Kelly Clarkson	140.001		2010/7/8
Since You Been Gone	Kelly Clarkson	130.999		2010/7/8
What Doesn't Kill You	Kelly Clarkson	116		2012/4/4
Teflon (Datsik & Excision Remix)	Kelly Dean & Steady	140		2013/2/28
Like This	Kelly Rowland	88.998		2010/7/8
Motivation (Diplo Remix)	Kelly Rowland	139.999		2011/3/19
Sherane A.K.A. Master Splinters Daughter	Kendrick Lamar	88.998		2012/12/3
Bitch, Dant Kill My Vibe	Kendrick Lamar	133.999		2012/12/3
Backseat Freestyle	Kendrick Lamar	154		2012/12/3
The Art Of Peer Pressure	Kendrick Lamar	94.9999	Cm	2012/12/3
Money Trees (Feat. Jay Rock)	Kendrick Lamar	144		2012/12/3
Good Kid	Kendrick Lamar	87.9999	Fm	2012/12/3
M.A.A.D City (Feat. MC Eiht)	Kendrick Lamar	91		2012/12/3
Sing About Me, Im Dying Of Thirst	Kendrick Lamar	166.039	Abm	2012/12/3
Real (Feat. Anna Wise Of Sonnymoon)	Kendrick Lamar	100		2012/12/3
Compton (Feat. Dr. Dre)	Kendrick Lamar	170		2012/12/3
A.D.H.D.	Kendrick Lamar	158		2013/9/6
Cartoon & Cereal	Kendrick Lamar	113.799		2012/7/17
Swimming Pools (Remix)	Kendrick Lamar	148.002		2013/2/28
Sunday After You (Burning Down Mix)	Kenna	146		2010/7/8
Pretty Girl Rock	Keri Hilson	159.999		2011/2/25
Get Your Money Up	Keri Hilson	95.003		2010/7/8
Get Ya Money Up (Remix)	Keri Hilson	94.998		2010/7/8
Knock You Down (Acoustic)	Keri Hilson	136.11		2010/3/19
Pretty Girl Rock (Remix)	Keri Hilson	159.999		2010/12/8
Turnin Me On (MSTRKRFT Remix)	Keri Hilson	130		2010/7/8
Knock You Down	Keri Hilson	155		2010/7/8
Turnin Me On	Keri Hilson	156.003		2010/7/8
Zombie Nation Remix	Kernkraft 400	141.917		2010/7/8
C'mon	Kesha	126		2013/5/28
Turn Me On	Kevin Little	106.079		2010/7/8
We All Want The Same Thing	Kevin Michael	97.995		2010/7/8
Let It Rock	Kevin Rudolf	111.997		2010/7/8
My Neck, My Back	Khia	102.043		2010/1/20
Intro	KiD CuDi	118		2009/3/31
Is There Any Love?	KiD CuDi	171.177	Em	2010/7/8
CuDi Get	KiD CuDi	95.18		2010/7/8
Man On The Moon (The Anthem)	KiD CuDi	91.04		2010/7/8
The Prayer	KiD CuDi	139.999		2010/1/3
Day 'N' Nite	KiD Cudi	138		2010/7/8
Embrace The Martian	KiD CuDi	124.98		2010/7/8
Maui Wowie	KiD CuDi	122.684		2010/7/8
50 Ways To Make A Record	KiD CuDi	101.714		2010/7/8
Whenever	KiD CuDi	101.016		2010/7/8
Pillow Talk	KiD CuDi	94.01		2010/7/8
Save My Soul	KiD CuDi	169.786	Cm	2010/7/8
T.G.I.F.	KiD CuDi	169.514	Fm	2010/7/8
CuDi Spazzin'	KiD CuDi	169.984	Fm	2010/7/8
Cleveland Is The Reason	KiD CuDi	151.999		2010/7/8
Heaven At Nite	KiD CuDi	94.72		2010/7/8
Pursuit Of Happiness (Steve Aoki Remix)	Kid Cudi	127.999		2011/3/20
Scott Mescudi VS. The World	Kid Cudi	108.7		2010/12/8
Revofev	Kid Cudi	137.602		2010/12/8
Dont Play This Song	Kid Cudi	138.001		2010/12/8
We Aite (Wake Your Mind Up)	Kid Cudi	137.997		2010/12/8
Marijuana	Kid Cudi	140.978		2010/12/8
Mojo So Dope	Kid Cudi	90.029	Bm	2010/12/8
Ashin' Kusher	Kid Cudi	92.9995	Em	2010/12/8
Erase Me	Kid Cudi	93.0001	A	2010/12/8
Wild'N Cuz Im Young	Kid Cudi	87.9998	Bm	2010/12/8
The Mood	Kid Cudi	119.942		2010/12/8
Maniac	Kid Cudi	149.998		2010/12/8
Mr.Rager	Kid Cudi	102		2010/12/8
These Worries	Kid Cudi	88.001		2010/12/8
The End	Kid Cudi	119		2010/12/8
All Along	Kid Cudi	160.001	C	2010/12/8
Ghost!	Kid Cudi	89.9999	Em	2010/12/8
Trapped In My Mind	Kid Cudi	118.999		2010/12/8
In My Dreams (Cudder Anthem)	KiD CuDi	98.995		2010/7/8
Soundtrack 2 My Life	KiD CuDi	173	Am	2010/7/8
Simple As...	KiD CuDi	94.998		2010/7/8
Solo Dolo (Nightmare)	KiD CuDi	158.01		2010/7/8
Heart Of A Lion (KiD CuDi Theme Music)	KiD CuDi	125		2010/7/8
My World	KiD CuDi	147.999		2010/7/8
Day 'n' Nite (Nightmare)	KiD CuDi	138		2010/7/8
Sky Might Fall	KiD CuDi	97.1		2010/7/8
Enter Galactic (Love Connection Pt. 1)	KiD CuDi	120		2009/9/13
Alive (Nightmare)	KiD CuDi	101.803		2010/7/8
CuDi Zone	KiD CuDi	134.801		2009/9/13
Make Her Say	KiD CuDi	99.067		2010/7/8
Pusuit of Happiness	KiD CuDi	115.295		2009/9/13
Hyyerr	KiD CuDi	120.001		2010/7/8
Up, Up, And Away (The Wake & Bake Song)	KiD CuDi	119.998		2010/7/8
Switchin Lanes	KiD CuDi	91.996		2010/7/8
Down And Out	KiD CuDi	92.11		2010/7/8
Call Me Moon Man	KiD CuDi	173.969	Bb	2010/7/8
Day 'N' Nite (Remix)	KiD CuDi	138		2010/7/8
Day N Nite (Crookers Remix)	KiD CuDi	130		2012/4/4
Highs N Lows	Kid CuDi	152.601		2010/3/19
Just What IAm	KiD CuDi	140.001		2012/8/25
Look Up In Da Stars	KiD CuDi	159.09		2010/7/8
Make Her Say (Sammy Bananas Remix)	KiD CuDi	108		2011/3/20
Pursuit of Happiness (Steve Aoki/Killabits Mix)	KiD CuDi	139.996		2011/3/20
Soundtrack 2 My Life (TYR & CR^NKN Remix)	Kid Cudi	142		2012/2/15
Capcom	Kid Cudi	155		2011/4/15
Dat New New (VIKING Remix)	KiD CuDi	123		2010/7/8
Pursuit of Happiness (Benny Benassi Remix)	KiD CuDi	129.001		2010/7/8
Say Whut!	Kid Kamillion	143.999		2013/4/3
Pro Nails	Kid Sister	133.001		2010/7/8
Daydreaming (Jakwob Remix)	Kid Sister	140.001		2010/3/19
Kiss Kiss Kiss	Kid Sister	126.999		2010/12/7
Pro Nails (Rusko Remix)	Kid Sister	139.995		2011/2/9
Right Hand Hi (Caspa Remix)	Kid Sister	139.999		2011/7/12
Who Do You Luv	Kids These Days	157.971	Cm	2012/11/10
Drivin Down The Block	Kidz In The Hall	88.999		2010/7/8
Take Over The World	Kidz In The Hall	172	G	2010/3/19
Tender Love (Original Mix)	Kill Paris	140		2013/8/23
Love We Shared	Kill Paris	174	Eb	2013/1/29
Girl, You One of a Kind	Kill Paris	175	Ebm	2013/1/29
I Wanna Be Your Lover	Kill Paris	109.999		2013/1/29
I Do Love You	Kill Paris	175	Gm	2013/1/29
I'm Free	Kill Paris	109.999		2013/1/29
